id,producto,precio,descripcion
1,Chilaquiles,$30.00,"Comida, Tradicional, Mexicano, Crujiente, Desayuno."
2,Cigarro Electrico,$60.00,Electronico.
3,Pantalon,$120.00,"Moderno, Comodo, Versátil."
4,Tiramisu,$30.00,"Exquisito, Dulce, Porción Perfecta."
5,Galleta,$20.00,"Deliciosa, Crujiente, Satisfactoria, Postre, Dulce."
6,Hoja De Color,$2.00,"Brillante, Creativa"
7,Blusa,$150.00,"Elegante, Cómoda, Versátil."
8,Bisuteria,$100.00,"Elegante, Accesorios, Adornos."
9,Orden De Tacos De Canasta,$20.00,"Sabrosos, Sabores Variados, Grasosos, Baratos."
10,Máscara De Payaso,$250.00,"Halloween, Disfraz."
11,Caja De Colores,$80.00,"Vibrante, Creativa, Surtida, Escolar."
12,Torta,$30.00,"Comida, Desayuno, Barato."
13,Playera,$100.00,"Ropa Casual, Comodo."
14,Caja De Donas,$120.00,"Chatarra, Desayuno, Postre, Dulce."
15,Marcatextos,$10.00,"Vibrantes, Resaltantes, Útiles, Escolar."
16,Botana Preparada,$15.00,"Sabrosa, Lista Para Disfrutar, Variada, Chatarra."
17,Taza,$50.00,"Resistente, Versátil, Diseño Único."
18,Peluche,$90.00,"Suave, Adorable, Abrazable."
19,Protector Solar,$70.00,"Efectivo, Imprescindible, Cuidado Diario."
20,Tenis,$800.00,"Deportivo, Comodo, Estilo Juvenil."
21,Rebanada De Pastel,$30.00,"Deliciosa, Tentadora, Porción Perfecta."
22,Camisa,$200.00,"Elegante, Formal."
23,Pizza,$20.00,"Deliciosa, Comida, Barata, Chatarra."
24,Balon De Futbol,$100.00,"Deportivo, Futbol."
25,Coca-Cola,$18.00,"Bebida, Chatarra, Dulce, Comida, Lata"
26,Café,$20.00,"Bebida, Desayuno, Amargo."
27,Barra De Chocolate,$24.00,"Amargo, Chatarra, Dulce."
28,Balon De Basquetbol,$120.00,"Deportivo, Basquetbol."
29,Playera Deportiva,$150.00,"Deportivo, Comodo."
30,Sabritas,$20.00,"Comida, Chatarra, Barato."
31,Audifonos,$45.00,"Musica, Dispositivo Electronico."
32,Agua Natural,$8.00,"Bebida, Saludable."
33,Linterna Led,$50.00,"Portátil, Iluminación, Duradera"
34,Paquete De Calcetines,$80.00,"Cómodos, Económicos, Variedad De Colores"
35,Caja De Herramientas,$400.00,"Práctica, Organizada, Herramientas"
36,Set De Marcadores,$50.00,"Coloridos, Para Resaltar, Variados"
37,Abridor De Latas,$40.00,"Práctico, Duradero, Herramienta De Cocina"
38,Reloj De Pulsera,$225.00,"Elegante, Funcional"
39,Kit De Costura,$190.00,"Práctico, Para Reparaciones"
40,Bolígrafos Gel,$40.00,"Suaves, Tinta De Secado Rápido"
41,Almohada De Viaje,$110.00,"Cómoda, Compacta"
42,Set De Platos Desechables,$50.00,"Práctico, Desechable"
43,Lápiz Mecánico,$35.00,"Preciso, Recargable"
44,Gorro De Lana,$90.00,"Abrigado, Cómodo"
45,Estuche De Maquillaje,$140.00,"Organizado, Compacto"
46,Juego De Toallas De Baño,$95.00,"Suaves, Absorbentes"
